SMILES,ID
CCNC(=O)CCC(N)C(O)=O,BRD-A08715367
NC(CCCNC(N)=O)C(O)=O,BRD-A12237696
CCCN(CCC)C1CCc2ccc(O)cc2C1,BRD-A18795974
NCC(O)(CS(O)(=O)=O)c1ccc(Cl)cc1,BRD-A27924917
CN1CCc2cccc-3c2C1Cc1ccc(O)c(O)c-31,BRD-A35931254
NC(=O)OCC(O)COc1ccc(Cl)cc1,BRD-A39230911
CCCCCCCCCCCCCCCC(=O)OC(CC(O)=O)C[N+](C)(C)C,BRD-A77577770
C(C(N1CCCCC1)c1ccccc1)c1ccccc1,BRD-A86415025
CC(C)OC(=O)[C@H](C)N[P@@](=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1,BRD-K05674516
CC(C)SC(N)=N,BRD-K10673031
CC(C)NC[C@H](O)COc1cccc2ccccc12,BRD-K13994703
NCCc1ccccn1,BRD-K17874705
COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C)cn2)nc(nc1OC)-c1ccncc1,BRD-K19203487
COc1cccc(OC)c1-c1cc(nn1-c1ccnc2cc(Cl)ccc12)C(=O)NC1(C2CC3CC(C2)CC1C3)C(O)=O,BRD-K25075681
CCS(=O)(=O)N1CCN(CC1)c1ccc(Nc2ncc(C(N)=O)c(NC3CC3)n2)cc1,BRD-K25835157
C[N+](C)(C)[C@@H](Cc1c[nH]c(=S)[nH]1)C(O)=O,BRD-K26341917
C[C@@H](N)[C@@H](O)c1ccccc1,BRD-K27853494
C[C@H](N)Cc1c[nH]cn1,BRD-K28308851
OC(=O)CCCC=C/C[C@@H]1CO[C@@H](O[C@@H]1c1ccccc1O)C(F)(F)F,BRD-K29133151
O=C(Cc1ccc(cn1)-c1ccc(OCCN2CCOCC2)cc1)NCc1ccccc1,BRD-K29968218
FS(=O)(=O)Cc1ccccc1,BRD-K33422401
COc1cc2c3n([C@H](C)c4ccccn4)c(=O)[nH]c3cnc2cc1-c1c(C)noc1C,BRD-K36363294
Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]45[C@@H](Oc1c24)c1[nH]c2[C@@H]4Oc6c7c(C[C@H]8N(CC9CC9)CC[C@@]47[C@@]8(O)Cc2c1C[C@@]35O)ccc6O,BRD-K36381762
[O-][N+](=O)C=Cc1ccc2OCOc2c1,BRD-K42205652
Cc1ccc(C[N+](C)(C)C)o1,BRD-K45437867
